The Punch Bowl	Crosthwaite Lyth Valley Cumbria LA8 8HR	http://www.the-punchbowl.co.uk/contact-us.html	The Punch Bowl	015395 68237	54.313538,-2.853538
Rothay Manor Hotel	Ambleside Cumbria LA22 0EH	http://rothaymanor.co.uk/	Rothay Manor	01539 433605	54.426507,-2.968313
Roundthorn Country House	Beacon Edge Penrith Cumbria CA11 8SJ	http://www.roundthorn.co.uk/	The Roundthorn Country House	01768 863952	54.674388,-2.723123
Rydal Mount	Ambleside Lake District LA22 9LU	http://www.rydalmount.co.uk/	Rydal Mount	015394 33002	54.448771,-2.982472
The Ryebeck	Lyth Valley Road Bowness-on-Windermere Cumbria LA23 3JP	http://www.ryebeck.com/weddings/	The Ryebeck Country House & Restaurant	015394 88195	54.349444,-2.920684
The Samling	Ambleside Road Windermere Cumbria LA23 1LR http://www.thesamlinghotel.co.uk/contact-us/	http://www.thesamlinghotel.co.uk/contact-us/	The Samling	015394 31922	54.414841,-2.951442
Sawrey House	Near Sawrey Hawkshead Lake District Cumbria LA22 0LF	http://www.sawreyhouse.com/#/contact-us/4536223500	Sawrey House Hotel	015394 36387	54.352462,-2.970187
Scafell Hotel	Rosthwaite Borrowdale Nr Keswick Cumbria CA12 5XB	http://scafell.co.uk/	Scafell Hotel	017687 77208	54.523282,-3.148159
Seacote Hotel	The Beach St Bees Cumbria CA27 0ES	http://www.seacote.com/Hotel/Contact%20Us.htm	Seacote Hotel	01946 822300	54.489954,-3.603154
Sella Park Country House Hotel	Calderbridge Cumbria CA20 1DW	http://www.sellaparkhotel.co.uk/index	Sella Park Country House Hotel	01946 841601	54.436688,-3.490366
Shap Wells Hotel	Shap Nr Penrith Cumbria CA10 3QU	http://shapwells.com/	Shap Wells Hotel	01931 716628	54.479688,-2.651420
Sharrow Bay	Sharrow Bay Ullswater Penrith Cumbria CA10 2LZ	https://www.sharrowbay.co.uk/	Sharrow Bay	01768 486301	54.589930,-2.843834
Silverholme Manor	Graythwaite Lake District Cumbria LA12 8BA	https://graythwaite.com/silverholme-manor/	Silverholme Manor	015395 31248	54.313825,-2.967863
Skiddaw Hotel	Main Street Keswick CA12 5BL	https://www.lakedistricthotels.net/skiddawhotel/index.php	Skiddaw Hotel	0800 840 1243	54.600734,-3.137799
Skitby	Kirklinton CA6 6DL	http://skitby.co.uk	Skitby	01228 675241	54.983684,-2.863311
Stonecross Manor Hotel	Milnthorpe Road Kendal Cumbria LA9 5HP	http://www.stonecrossmanor.co.uk/	Stonecross Manor	01539 733559	54.313364,-2.752806
Stoneybeck Inn	Bowscar Penrith Cumbria CA11 8RP	http://www.stoneybeckinn.co.uk/	Stoneybeck Inn	01768 862369	54.693608,-2.764625
Storrs Hall	Bowness-on-Windermere Cumbria LA23 3LG	https://www.storrshall.com/	Storrs Hall	01539 447111	54.339250,-2.936083
Swan Hotel	Keswick Road Grasmere LA22 9RF	http://www.macdonaldhotels.co.uk/our-hotels/macdonald-swan-hotel/	Macdonald Swan Hotel	0344 879 9120	54.465463,-3.020117
The Swan Hotel & Spa	Newby Bridge Cumbria LA12 8NB	http://www.swanhotel.com/	The Swan Hotel & Spa	015395 31681	54.269240,-2.969751
Three Hills Barn	Three Hills Barn Park House Torpenhow Wigton CA7 1JZ	http://threehillsbarn.com/about.html	Three Hills Barn	016973 71244	54.749565,-3.226054
Trout Hotel	Crown Street Cockermouth Cumbria CA13 0EJ	https://trouthotel.co.uk/	Trout Hotel	01900 823591	54.663528,-3.369649
Tullie House Museum and Art Gallery	Castle Street Carlisle Cumbria CA3 8TP	http://www.tulliehouse.co.uk/venue-hire/weddings	Tullie House Museum & Art Gallery	01228 618718	54.895319,-2.939552
Underley Grange	6 - 8 Chapel Lane Kirkby Lonsdale Carnforth LA6 2AL	http://www.lune-valley.co.uk/underley-grange/	Underley Grange	015242 72669	54.202332,-2.597425
The Villa	Brettargh Holt Kendal LA8 8EA	http://www.thevillalevens.co.uk/	The Villa	01539 980980	54.274602,-2.766980
Warwick Hall	Warwick Bridge Carlisle CA4 8PG	http://www.warwickhallweddings.co.uk/	Warwick Hall Weddings	077142 11135 or 07796 693904	54.904407,-2.833322
Wasdale Head Inn	Near Gosforth Cumbria CA20 1EX	http://www.wasdale.com/	Wasdale Head Inn	019467 26229	54.465884,-3.255141
Washington Central Hotel	Washington Street Workington CA14 3AY	http://www.washingtoncentralhotel.co.uk/	Washington Central Hotel	0190 65772	54.642621,-3.543870
Waterhead Hotel	Ambleside Cumbria LA22 0ER	http://englishlakes.co.uk/waterhead/	Waterhead Hotel	0333 2203 106	54.420618,-2.961794
Waterhead Hotel Coniston	Hawkshead Road Coniston Cumbria LA21 8AJ	http://www.waterhead-hotel.co.uk/the-hotel/	Waterhead Hotel	015394 41244	54.368926,-3.063160
Whitewater Hotel	Lakeland Village Newby Bridge Cumbria LA12 8PX	http://www.whitewater-hotel.co.uk/banqueting-wedding/suites	Whitewater Hotel	015395 31133	54.256276,-2.989095
The Wild Boar	Windermere Cumbria LA23 3NF	http://englishlakes.co.uk/the-wild-boar/	The Wild Boar	015394 45225	54.351184,-2.870227
Windermere Hotel	Kendal Road Windermere LA23 1AL	https://www.coastandcountryhotels.com	Windermere Hotel	01539 442251	54.380740,-2.903817
Windermere Hydro Hotel	Helm Road Bowness-on-Windermere Windermere LA23 3BA	https://squirehotels.co.uk/windermere/	The Hydro Hotel	01539 444455	54.365250,-2.915050
Windermere Boat Racing Club	Broad Leys Ghyll Head Newby Bridge Road Bowness on Windermere Cumbria LA23 3 LJ	http://www.wmbrc.co.uk/weddings_and_events	Windermere Boat Racing Club	015394 43284	54.331298,-2.934734
Wordsworth Hotel & Spa	Grasmere Lake District Cumbria LA22 9SW	http://thewordsworthhotel.co.uk/contact/	Wordsworth Hotel & Spa	015394 35592	54.457960,-3.024218
Wordsworth House and Garden	Main Street Cockermouth Cumbria CA13 9RX	https://www.nationaltrust.org.uk/wordsworth-house-and-garden/features/your-fairytale-wedding-at-wordsworth-house	Wordsworth House & Gardens	01900 824805	54.663691,-3.367949
